fixture_id,world_cup_year,date,round,team_id,team_name,is_home,opponent_id,opponent_name,goals_scored,goals_conceded,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct
135824,2018,2018-06-28T18:00:00+00:00,Group Stage - 3,28,Tunisia,False,11,Panama,2,1,6,5,14,3,11,3,19,6,1,70.0,3,0,4,618,530,86.0
855734,2022,2022-11-21T16:00:00+00:00,Group Stage - 1,13,Senegal,True,1118,Netherlands,0,2,4,7,15,4,8,7,13,6,2,47.0,2,0,1,385,307,80.0
855734,2022,2022-11-21T16:00:00+00:00,Group Stage - 1,1118,Netherlands,False,13,Senegal,2,0,3,4,10,3,6,4,13,7,1,53.0,1,0,4,436,355,81.0
855735,2022,2022-11-21T13:00:00+00:00,Group Stage - 1,10,England,True,22,Iran,6,2,7,2,13,4,10,3,9,8,2,78.0,0,0,1,797,716,90.0
855735,2022,2022-11-21T13:00:00+00:00,Group Stage - 1,22,Iran,False,10,England,2,6,3,4,8,1,6,2,14,0,2,22.0,2,0,1,215,142,66.0
855736,2022,2022-11-20T16:00:00+00:00,Group Stage - 1,1569,Qatar,True,2382,Ecuador,0,2,0,5,5,0,2,3,15,1,3,47.0,4,0,1,434,351,81.0
855736,2022,2022-11-20T16:00:00+00:00,Group Stage - 1,2382,Ecuador,False,1569,Qatar,2,0,3,3,6,0,3,3,15,3,4,53.0,2,0,0,486,412,85.0
855737,2022,2022-11-22T10:00:00+00:00,Group Stage - 1,26,Argentina,True,23,Saudi Arabia,1,2,6,6,15,3,11,4,7,9,10,69.0,0,0,0,596,508,85.0
855737,2022,2022-11-22T10:00:00+00:00,Group Stage - 1,23,Saudi Arabia,False,26,Argentina,2,1,2,0,3,1,3,0,21,2,1,31.0,6,0,5,266,181,68.0
855738,2022,2022-11-22T13:00:00+00:00,Group Stage - 1,21,Denmark,True,28,Tunisia,0,0,5,3,11,3,7,4,9,11,1,61.0,2,0,1,595,501,84.0
855738,2022,2022-11-22T13:00:00+00:00,Group Stage - 1,28,Tunisia,False,21,Denmark,0,0,1,5,13,7,8,5,10,9,1,39.0,1,0,5,374,280,75.0
855739,2022,2022-11-22T16:00:00+00:00,Group Stage - 1,16,Mexico,True,24,Poland,0,0,4,4,11,3,7,4,14,6,3,61.0,2,0,2,488,407,83.0
855739,2022,2022-11-22T16:00:00+00:00,Group Stage - 1,24,Poland,False,16,Mexico,0,0,2,3,6,1,5,1,15,5,0,39.0,1,0,4,322,228,71.0
855740,2022,2022-11-23T10:00:00+00:00,Group Stage - 1,31,Morocco,True,3,Croatia,0,0,2,0,8,6,3,5,16,0,0,35.0,1,0,1,348,273,78.0
855740,2022,2022-11-23T10:00:00+00:00,Group Stage - 1,3,Croatia,False,31,Morocco,0,0,2,2,5,1,3,2,11,5,1,65.0,0,0,2,642,551,86.0
855741,2022,2022-11-23T13:00:00+00:00,Group Stage - 1,25,Germany,True,12,Japan,1,2,9,11,26,6,16,10,6,6,4,74.0,0,0,2,771,686,89.0
855741,2022,2022-11-23T13:00:00+00:00,Group Stage - 1,12,Japan,False,25,Germany,2,1,4,4,12,4,12,0,14,6,4,26.0,0,0,8,269,190,71.0
855742,2022,2022-11-23T19:00:00+00:00,Group Stage - 1,1,Belgium,True,5529,Canada,1,0,3,3,9,3,6,3,11,4,0,54.0,3,0,3,520,432,83.0
855742,2022,2022-11-23T19:00:00+00:00,Group Stage - 1,5529,Canada,False,1,Belgium,0,1,3,11,22,8,18,4,14,4,1,46.0,2,0,2,429,353,82.0
855743,2022,2022-11-24T10:00:00+00:00,Group Stage - 1,15,Switzerland,True,1530,Cameroon,1,0,3,3,7,1,5,2,12,11,2,51.0,2,0,5,514,432,84.0
855743,2022,2022-11-24T10:00:00+00:00,Group Stage - 1,1530,Cameroon,False,15,Switzerland,0,1,5,2,8,1,7,1,10,5,2,49.0,1,0,2,494,420,85.0
855744,2022,2022-11-24T13:00:00+00:00,Group Stage - 1,7,Uruguay,True,17,South Korea,0,0,1,7,10,2,6,4,7,4,1,56.0,1,0,0,548,448,82.0
